รหัสพรรค,ชื่อเขต,รหัสเขต,ชื่อพรรค,เปอร์เซ็น/คะแนน,ภูมิภาค
145,ฉะเชิงเทรา เขต2,A4102,เสรีรวมไทย,8,ตะวันออกเฉียงใต้
181,ฉะเชิงเทรา เขต2,A4102,รวมพลังประชาชาติไทย,12,ตะวันออกเฉียงใต้
000,ฉะเชิงเทรา เขต2,A4102,บัตรเสีย,18,ตะวันออกเฉียงใต้
888,ฉะเชิงเทรา เขต2,A4102,ไม่ใช่สิทธิ์ลงคะแนน,4,ตะวันออกเฉียงใต้
999,ฉะเชิงเทรา เขต3,A4103,บัตรดี,,ตะวันออกเฉียงใต้
034,ฉะเชิงเทรา เขต3,A4103,เพื่อไทย,11,ตะวันออกเฉียงใต้
001,ฉะเชิงเทรา เขต3,A4103,ประชาธิปัตย์,6,ตะวันออกเฉียงใต้
192,ฉะเชิงเทรา เขต3,A4103,พลังประชารัฐ,6,ตะวันออกเฉียงใต้
177,ฉะเชิงเทรา เขต3,A4103,อนาคตใหม่,6,ตะวันออกเฉียงใต้
063,ฉะเชิงเทรา เขต3,A4103,ภูมิใจไทย,10,ตะวันออกเฉียงใต้
077,ฉะเชิงเทรา เขต3,A4103,พรรคไทยรักษาชาติ,13,ตะวันออกเฉียงใต้
145,ฉะเชิงเทรา เขต3,A4103,เสรีรวมไทย,14,ตะวันออกเฉียงใต้
181,ฉะเชิงเทรา เขต3,A4103,รวมพลังประชาชาติไทย,20,ตะวันออกเฉียงใต้
000,ฉะเชิงเทรา เขต3,A4103,บัตรเสีย,7,ตะวันออกเฉียงใต้
888,ฉะเชิงเทรา เขต3,A4103,ไม่ใช่สิทธิ์ลงคะแนน,7,ตะวันออกเฉียงใต้
999,ฉะเชิงเทรา เขต4,A4104,บัตรดี,,ตะวันออกเฉียงใต้
034,ฉะเชิงเทรา เขต4,A4104,เพื่อไทย,6,ตะวันออกเฉียงใต้
001,ฉะเชิงเทรา เขต4,A4104,ประชาธิปัตย์,9,ตะวันออกเฉียงใต้
192,ฉะเชิงเทรา เขต4,A4104,พลังประชารัฐ,5,ตะวันออกเฉียงใต้
177,ฉะเชิงเทรา เขต4,A4104,อนาคตใหม่,13,ตะวันออกเฉียงใต้
063,ฉะเชิงเทรา เขต4,A4104,ภูมิใจไทย,6,ตะวันออกเฉียงใต้
077,ฉะเชิงเทรา เขต4,A4104,พรรคไทยรักษาชาติ,13,ตะวันออกเฉียงใต้
145,ฉะเชิงเทรา เขต4,A4104,เสรีรวมไทย,18,ตะวันออกเฉียงใต้
181,ฉะเชิงเทรา เขต4,A4104,รวมพลังประชาชาติไทย,11,ตะวันออกเฉียงใต้
000,ฉะเชิงเทรา เขต4,A4104,บัตรเสีย,12,ตะวันออกเฉียงใต้
888,ฉะเชิงเทรา เขต4,A4104,ไม่ใช่สิทธิ์ลงคะแนน,7,ตะวันออกเฉียงใต้
999,นครพนม เขต1,A4201,บัตรดี,,ตะวันออกเฉียงเหนือ
034,นครพนม เขต1,A4201,เพื่อไทย,12,ตะวันออกเฉียงเหนือ
001,นครพนม เขต1,A4201,ประชาธิปัตย์,5,ตะวันออกเฉียงเหนือ
192,นครพนม เขต1,A4201,พลังประชารัฐ,14,ตะวันออกเฉียงเหนือ
177,นครพนม เขต1,A4201,อนาคตใหม่,12,ตะวันออกเฉียงเหนือ
063,นครพนม เขต1,A4201,ภูมิใจไทย,18,ตะวันออกเฉียงเหนือ
077,นครพนม เขต1,A4201,พรรคไทยรักษาชาติ,12,ตะวันออกเฉียงเหนือ
145,นครพนม เขต1,A4201,เสรีรวมไทย,8,ตะวันออกเฉียงเหนือ
181,นครพนม เขต1,A4201,รวมพลังประชาชาติไทย,10,ตะวันออกเฉียงเหนือ
000,นครพนม เขต1,A4201,บัตรเสีย,9,ตะวันออกเฉียงเหนือ
888,นครพนม เขต1,A4201,ไม่ใช่สิทธิ์ลงคะแนน,6,ตะวันออกเฉียงเหนือ
999,นครพนม เขต2,A4202,บัตรดี,,ตะวันออกเฉียงเหนือ
034,นครพนม เขต2,A4202,เพื่อไทย,6,ตะวันออกเฉียงเหนือ
001,นครพนม เขต2,A4202,ประชาธิปัตย์,12,ตะวันออกเฉียงเหนือ
192,นครพนม เขต2,A4202,พลังประชารัฐ,12,ตะวันออกเฉียงเหนือ
177,นครพนม เขต2,A4202,อนาคตใหม่,15,ตะวันออกเฉียงเหนือ
063,นครพนม เขต2,A4202,ภูมิใจไทย,13,ตะวันออกเฉียงเหนือ
077,นครพนม เขต2,A4202,พรรคไทยรักษาชาติ,5,ตะวันออกเฉียงเหนือ
145,นครพนม เขต2,A4202,เสรีรวมไทย,14,ตะวันออกเฉียงเหนือ
181,นครพนม เขต2,A4202,รวมพลังประชาชาติไทย,15,ตะวันออกเฉียงเหนือ
000,นครพนม เขต2,A4202,บัตรเสีย,9,ตะวันออกเฉียงเหนือ
888,นครพนม เขต2,A4202,ไม่ใช่สิทธิ์ลงคะแนน,5,ตะวันออกเฉียงเหนือ
999,นครพนม เขต3,A4203,บัตรดี,,ตะวันออกเฉียงเหนือ
034,นครพนม เขต3,A4203,เพื่อไทย,11,ตะวันออกเฉียงเหนือ
001,นครพนม เขต3,A4203,ประชาธิปัตย์,8,ตะวันออกเฉียงเหนือ
192,นครพนม เขต3,A4203,พลังประชารัฐ,14,ตะวันออกเฉียงเหนือ
177,นครพนม เขต3,A4203,อนาคตใหม่,14,ตะวันออกเฉียงเหนือ
063,นครพนม เขต3,A4203,ภูมิใจไทย,11,ตะวันออกเฉียงเหนือ
077,นครพนม เขต3,A4203,พรรคไทยรักษาชาติ,9,ตะวันออกเฉียงเหนือ
145,นครพนม เขต3,A4203,เสรีรวมไทย,7,ตะวันออกเฉียงเหนือ
181,นครพนม เขต3,A4203,รวมพลังประชาชาติไทย,12,ตะวันออกเฉียงเหนือ
000,นครพนม เขต3,A4203,บัตรเสีย,13,ตะวันออกเฉียงเหนือ
888,นครพนม เขต3,A4203,ไม่ใช่สิทธิ์ลงคะแนน,5,ตะวันออกเฉียงเหนือ
999,นครพนม เขต4,A4204,บัตรดี,,ตะวันออกเฉียงเหนือ
034,นครพนม เขต4,A4204,เพื่อไทย,19,ตะวันออกเฉียงเหนือ
001,นครพนม เขต4,A4204,ประชาธิปัตย์,5,ตะวันออกเฉียงเหนือ
192,นครพนม เขต4,A4204,พลังประชารัฐ,10,ตะวันออกเฉียงเหนือ
177,นครพนม เขต4,A4204,อนาคตใหม่,17,ตะวันออกเฉียงเหนือ
063,นครพนม เขต4,A4204,ภูมิใจไทย,8,ตะวันออกเฉียงเหนือ
077,นครพนม เขต4,A4204,พรรคไทยรักษาชาติ,9,ตะวันออกเฉียงเหนือ
145,นครพนม เขต4,A4204,เสรีรวมไทย,16,ตะวันออกเฉียงเหนือ
181,นครพนม เขต4,A4204,รวมพลังประชาชาติไทย,9,ตะวันออกเฉียงเหนือ
000,นครพนม เขต4,A4204,บัตรเสีย,7,ตะวันออกเฉียงเหนือ
888,นครพนม เขต4,A4204,ไม่ใช่สิทธิ์ลงคะแนน,7,ตะวันออกเฉียงเหนือ
999,นราธิวาส เขต1,A4301,บัตรดี,,ใต้
034,นราธิวาส เขต1,A4301,เพื่อไทย,7,ใต้
001,นราธิวาส เขต1,A4301,ประชาธิปัตย์,6,ใต้
192,นราธิวาส เขต1,A4301,พลังประชารัฐ,8,ใต้
177,นราธิวาส เขต1,A4301,อนาคตใหม่,12,ใต้
063,นราธิวาส เขต1,A4301,ภูมิใจไทย,5,ใต้
077,นราธิวาส เขต1,A4301,พรรคไทยรักษาชาติ,8,ใต้
145,นราธิวาส เขต1,A4301,เสรีรวมไทย,14,ใต้
181,นราธิวาส เขต1,A4301,รวมพลังประชาชาติไทย,11,ใต้
000,นราธิวาส เขต1,A4301,บัตรเสีย,15,ใต้
888,นราธิวาส เขต1,A4301,ไม่ใช่สิทธิ์ลงคะแนน,14,ใต้
999,นราธิวาส เขต2,A4302,บัตรดี,,ใต้
034,นราธิวาส เขต2,A4302,เพื่อไทย,12,ใต้
001,นราธิวาส เขต2,A4302,ประชาธิปัตย์,7,ใต้
192,นราธิวาส เขต2,A4302,พลังประชารัฐ,18,ใต้
177,นราธิวาส เขต2,A4302,อนาคตใหม่,18,ใต้
063,นราธิวาส เขต2,A4302,ภูมิใจไทย,7,ใต้
077,นราธิวาส เขต2,A4302,พรรคไทยรักษาชาติ,6,ใต้
145,นราธิวาส เขต2,A4302,เสรีรวมไทย,5,ใต้
181,นราธิวาส เขต2,A4302,รวมพลังประชาชาติไทย,11,ใต้
000,นราธิวาส เขต2,A4302,บัตรเสีย,5,ใต้
888,นราธิวาส เขต2,A4302,ไม่ใช่สิทธิ์ลงคะแนน,11,ใต้
999,นราธิวาส เขต3,A4303,บัตรดี,,ใต้
034,นราธิวาส เขต3,A4303,เพื่อไทย,6,ใต้
001,นราธิวาส เขต3,A4303,ประชาธิปัตย์,13,ใต้
192,นราธิวาส เขต3,A4303,พลังประชารัฐ,10,ใต้
177,นราธิวาส เขต3,A4303,อนาคตใหม่,13,ใต้
063,นราธิวาส เขต3,A4303,ภูมิใจไทย,9,ใต้
077,นราธิวาส เขต3,A4303,พรรคไทยรักษาชาติ,12,ใต้
145,นราธิวาส เขต3,A4303,เสรีรวมไทย,13,ใต้
181,นราธิวาส เขต3,A4303,รวมพลังประชาชาติไทย,11,ใต้
000,นราธิวาส เขต3,A4303,บัตรเสีย,13,ใต้
888,นราธิวาส เขต3,A4303,ไม่ใช่สิทธิ์ลงคะแนน,4,ใต้
999,นราธิวาส เขต4,A4304,บัตรดี,,ใต้
034,นราธิวาส เขต4,A4304,เพื่อไทย,13,ใต้
001,นราธิวาส เขต4,A4304,ประชาธิปัตย์,5,ใต้
192,นราธิวาส เขต4,A4304,พลังประชารัฐ,6,ใต้
177,นราธิวาส เขต4,A4304,อนาคตใหม่,5,ใต้
063,นราธิวาส เขต4,A4304,ภูมิใจไทย,20,ใต้
077,นราธิวาส เขต4,A4304,พรรคไทยรักษาชาติ,17,ใต้
145,นราธิวาส เขต4,A4304,เสรีรวมไทย,6,ใต้
181,นราธิวาส เขต4,A4304,รวมพลังประชาชาติไทย,5,ใต้
000,นราธิวาส เขต4,A4304,บัตรเสีย,11,ใต้
888,นราธิวาส เขต4,A4304,ไม่ใช่สิทธิ์ลงคะแนน,12,ใต้
999,ปัตตานี เขต1,A4401,บัตรดี,,ใต้
034,ปัตตานี เขต1,A4401,เพื่อไทย,20,ใต้
001,ปัตตานี เขต1,A4401,ประชาธิปัตย์,10,ใต้
192,ปัตตานี เขต1,A4401,พลังประชารัฐ,6,ใต้
177,ปัตตานี เขต1,A4401,อนาคตใหม่,9,ใต้
063,ปัตตานี เขต1,A4401,ภูมิใจไทย,13,ใต้
077,ปัตตานี เขต1,A4401,พรรคไทยรักษาชาติ,14,ใต้
145,ปัตตานี เขต1,A4401,เสรีรวมไทย,9,ใต้
181,ปัตตานี เขต1,A4401,รวมพลังประชาชาติไทย,5,ใต้
000,ปัตตานี เขต1,A4401,บัตรเสีย,5,ใต้
888,ปัตตานี เขต1,A4401,ไม่ใช่สิทธิ์ลงคะแนน,9,ใต้
999,ปัตตานี เขต2,A4402,บัตรดี,,ใต้
034,ปัตตานี เขต2,A4402,เพื่อไทย,8,ใต้
001,ปัตตานี เขต2,A4402,ประชาธิปัตย์,17,ใต้
192,ปัตตานี เขต2,A4402,พลังประชารัฐ,8,ใต้
177,ปัตตานี เขต2,A4402,อนาคตใหม่,7,ใต้
063,ปัตตานี เขต2,A4402,ภูมิใจไทย,7,ใต้
077,ปัตตานี เขต2,A4402,พรรคไทยรักษาชาติ,16,ใต้
145,ปัตตานี เขต2,A4402,เสรีรวมไทย,18,ใต้
181,ปัตตานี เขต2,A4402,รวมพลังประชาชาติไทย,8,ใต้
000,ปัตตานี เขต2,A4402,บัตรเสีย,7,ใต้
888,ปัตตานี เขต2,A4402,ไม่ใช่สิทธิ์ลงคะแนน,4,ใต้
999,ปัตตานี เขต3,A4403,บัตรดี,,ใต้
034,ปัตตานี เขต3,A4403,เพื่อไทย,6,ใต้
001,ปัตตานี เขต3,A4403,ประชาธิปัตย์,5,ใต้
192,ปัตตานี เขต3,A4403,พลังประชารัฐ,19,ใต้
177,ปัตตานี เขต3,A4403,อนาคตใหม่,5,ใต้
063,ปัตตานี เขต3,A4403,ภูมิใจไทย,11,ใต้
077,ปัตตานี เขต3,A4403,พรรคไทยรักษาชาติ,18,ใต้
145,ปัตตานี เขต3,A4403,เสรีรวมไทย,6,ใต้
181,ปัตตานี เขต3,A4403,รวมพลังประชาชาติไทย,14,ใต้
000,ปัตตานี เขต3,A4403,บัตรเสีย,5,ใต้
888,ปัตตานี เขต3,A4403,ไม่ใช่สิทธิ์ลงคะแนน,11,ใต้
999,ปัตตานี เขต4,A4404,บัตรดี,,ใต้
034,ปัตตานี เขต4,A4404,เพื่อไทย,6,ใต้
001,ปัตตานี เขต4,A4404,ประชาธิปัตย์,7,ใต้
192,ปัตตานี เขต4,A4404,พลังประชารัฐ,12,ใต้
177,ปัตตานี เขต4,A4404,อนาคตใหม่,14,ใต้
063,ปัตตานี เขต4,A4404,ภูมิใจไทย,14,ใต้
077,ปัตตานี เขต4,A4404,พรรคไทยรักษาชาติ,8,ใต้
145,ปัตตานี เขต4,A4404,เสรีรวมไทย,10,ใต้
181,ปัตตานี เขต4,A4404,รวมพลังประชาชาติไทย,17,ใต้
000,ปัตตานี เขต4,A4404,บัตรเสีย,12,ใต้
888,ปัตตานี เขต4,A4404,ไม่ใช่สิทธิ์ลงคะแนน,0,ใต้
999,พระนครศรีอยุธยา เขต1,A4501,บัตรดี,,กลาง
034,พระนครศรีอยุธยา เขต1,A4501,เพื่อไทย,15,กลาง
001,พระนครศรีอยุธยา เขต1,A4501,ประชาธิปัตย์,13,กลาง
192,พระนครศรีอยุธยา เขต1,A4501,พลังประชารัฐ,17,กลาง
177,พระนครศรีอยุธยา เขต1,A4501,อนาคตใหม่,5,กลาง
063,พระนครศรีอยุธยา เขต1,A4501,ภูมิใจไทย,6,กลาง
077,พระนครศรีอยุธยา เขต1,A4501,พรรคไทยรักษาชาติ,8,กลาง
145,พระนครศรีอยุธยา เขต1,A4501,เสรีรวมไทย,10,กลาง
181,พระนครศรีอยุธยา เขต1,A4501,รวมพลังประชาชาติไทย,8,กลาง
000,พระนครศรีอยุธยา เขต1,A4501,บัตรเสีย,11,กลาง
888,พระนครศรีอยุธยา เขต1,A4501,ไม่ใช่สิทธิ์ลงคะแนน,7,กลาง
999,พระนครศรีอยุธยา เขต2,A4502,บัตรดี,,กลาง
034,พระนครศรีอยุธยา เขต2,A4502,เพื่อไทย,14,กลาง
001,พระนครศรีอยุธยา เขต2,A4502,ประชาธิปัตย์,13,กลาง
192,พระนครศรีอยุธยา เขต2,A4502,พลังประชารัฐ,14,กลาง
177,พระนครศรีอยุธยา เขต2,A4502,อนาคตใหม่,10,กลาง
063,พระนครศรีอยุธยา เขต2,A4502,ภูมิใจไทย,7,กลาง
077,พระนครศรีอยุธยา เขต2,A4502,พรรคไทยรักษาชาติ,11,กลาง
145,พระนครศรีอยุธยา เขต2,A4502,เสรีรวมไทย,6,กลาง
181,พระนครศรีอยุธยา เขต2,A4502,รวมพลังประชาชาติไทย,10,กลาง
000,พระนครศรีอยุธยา เขต2,A4502,บัตรเสีย,10,กลาง
888,พระนครศรีอยุธยา เขต2,A4502,ไม่ใช่สิทธิ์ลงคะแนน,5,กลาง
999,พระนครศรีอยุธยา เขต3,A4503,บัตรดี,,กลาง
034,พระนครศรีอยุธยา เขต3,A4503,เพื่อไทย,16,กลาง
001,พระนครศรีอยุธยา เขต3,A4503,ประชาธิปัตย์,11,กลาง
192,พระนครศรีอยุธยา เขต3,A4503,พลังประชารัฐ,14,กลาง
177,พระนครศรีอยุธยา เขต3,A4503,อนาคตใหม่,5,กลาง
063,พระนครศรีอยุธยา เขต3,A4503,ภูมิใจไทย,12,กลาง
077,พระนครศรีอยุธยา เขต3,A4503,พรรคไทยรักษาชาติ,11,กลาง
145,พระนครศรีอยุธยา เขต3,A4503,เสรีรวมไทย,9,กลาง
181,พระนครศรีอยุธยา เขต3,A4503,รวมพลังประชาชาติไทย,9,กลาง
000,พระนครศรีอยุธยา เขต3,A4503,บัตรเสีย,6,กลาง
888,พระนครศรีอยุธยา เขต3,A4503,ไม่ใช่สิทธิ์ลงคะแนน,7,กลาง
999,พระนครศรีอยุธยา เขต4,A4504,บัตรดี,,กลาง
034,พระนครศรีอยุธยา เขต4,A4504,เพื่อไทย,19,กลาง
001,พระนครศรีอยุธยา เขต4,A4504,ประชาธิปัตย์,9,กลาง
192,พระนครศรีอยุธยา เขต4,A4504,พลังประชารัฐ,6,กลาง
177,พระนครศรีอยุธยา เขต4,A4504,อนาคตใหม่,8,กลาง
063,พระนครศรีอยุธยา เขต4,A4504,ภูมิใจไทย,5,กลาง
077,พระนครศรีอยุธยา เขต4,A4504,พรรคไทยรักษาชาติ,5,กลาง
145,พระนครศรีอยุธยา เขต4,A4504,เสรีรวมไทย,13,กลาง
181,พระนครศรีอยุธยา เขต4,A4504,รวมพลังประชาชาติไทย,12,กลาง
000,พระนครศรีอยุธยา เขต4,A4504,บัตรเสีย,19,กลาง
888,พระนครศรีอยุธยา เขต4,A4504,ไม่ใช่สิทธิ์ลงคะแนน,4,กลาง
999,ระยอง เขต1,A4601,บัตรดี,,ตะวันออกเฉียงใต้
034,ระยอง เขต1,A4601,เพื่อไทย,15,ตะวันออกเฉียงใต้
001,ระยอง เขต1,A4601,ประชาธิปัตย์,10,ตะวันออกเฉียงใต้
192,ระยอง เขต1,A4601,พลังประชารัฐ,10,ตะวันออกเฉียงใต้
177,ระยอง เขต1,A4601,อนาคตใหม่,15,ตะวันออกเฉียงใต้
063,ระยอง เขต1,A4601,ภูมิใจไทย,5,ตะวันออกเฉียงใต้
077,ระยอง เขต1,A4601,พรรคไทยรักษาชาติ,7,ตะวันออกเฉียงใต้
145,ระยอง เขต1,A4601,เสรีรวมไทย,8,ตะวันออกเฉียงใต้
181,ระยอง เขต1,A4601,รวมพลังประชาชาติไทย,5,ตะวันออกเฉียงใต้
000,ระยอง เขต1,A4601,บัตรเสีย,6,ตะวันออกเฉียงใต้
888,ระยอง เขต1,A4601,ไม่ใช่สิทธิ์ลงคะแนน,19,ตะวันออกเฉียงใต้
999,ระยอง เขต2,A4602,บัตรดี,,ตะวันออกเฉียงใต้
034,ระยอง เขต2,A4602,เพื่อไทย,7,ตะวันออกเฉียงใต้
001,ระยอง เขต2,A4602,ประชาธิปัตย์,8,ตะวันออกเฉียงใต้
192,ระยอง เขต2,A4602,พลังประชารัฐ,18,ตะวันออกเฉียงใต้
177,ระยอง เขต2,A4602,อนาคตใหม่,7,ตะวันออกเฉียงใต้
063,ระยอง เขต2,A4602,ภูมิใจไทย,16,ตะวันออกเฉียงใต้
077,ระยอง เขต2,A4602,พรรคไทยรักษาชาติ,13,ตะวันออกเฉียงใต้
145,ระยอง เขต2,A4602,เสรีรวมไทย,10,ตะวันออกเฉียงใต้
181,ระยอง เขต2,A4602,รวมพลังประชาชาติไทย,7,ตะวันออกเฉียงใต้
000,ระยอง เขต2,A4602,บัตรเสีย,12,ตะวันออกเฉียงใต้
888,ระยอง เขต2,A4602,ไม่ใช่สิทธิ์ลงคะแนน,2,ตะวันออกเฉียงใต้
999,ระยอง เขต3,A4603,บัตรดี,,ตะวันออกเฉียงใต้
034,ระยอง เขต3,A4603,เพื่อไทย,16,ตะวันออกเฉียงใต้
001,ระยอง เขต3,A4603,ประชาธิปัตย์,11,ตะวันออกเฉียงใต้
192,ระยอง เขต3,A4603,พลังประชารัฐ,7,ตะวันออกเฉียงใต้
177,ระยอง เขต3,A4603,อนาคตใหม่,9,ตะวันออกเฉียงใต้
063,ระยอง เขต3,A4603,ภูมิใจไทย,6,ตะวันออกเฉียงใต้
077,ระยอง เขต3,A4603,พรรคไทยรักษาชาติ,13,ตะวันออกเฉียงใต้
145,ระยอง เขต3,A4603,เสรีรวมไทย,12,ตะวันออกเฉียงใต้
181,ระยอง เขต3,A4603,รวมพลังประชาชาติไทย,10,ตะวันออกเฉียงใต้
000,ระยอง เขต3,A4603,บัตรเสีย,11,ตะวันออกเฉียงใต้
888,ระยอง เขต3,A4603,ไม่ใช่สิทธิ์ลงคะแนน,5,ตะวันออกเฉียงใต้
999,ระยอง เขต4,A4604,บัตรดี,,ตะวันออกเฉียงใต้
034,ระยอง เขต4,A4604,เพื่อไทย,10,ตะวันออกเฉียงใต้
001,ระยอง เขต4,A4604,ประชาธิปัตย์,10,ตะวันออกเฉียงใต้
192,ระยอง เขต4,A4604,พลังประชารัฐ,14,ตะวันออกเฉียงใต้
177,ระยอง เขต4,A4604,อนาคตใหม่,10,ตะวันออกเฉียงใต้
063,ระยอง เขต4,A4604,ภูมิใจไทย,19,ตะวันออกเฉียงใต้
077,ระยอง เขต4,A4604,พรรคไทยรักษาชาติ,13,ตะวันออกเฉียงใต้
145,ระยอง เขต4,A4604,เสรีรวมไทย,5,ตะวันออกเฉียงใต้
181,ระยอง เขต4,A4604,รวมพลังประชาชาติไทย,10,ตะวันออกเฉียงใต้
000,ระยอง เขต4,A4604,บัตรเสีย,9,ตะวันออกเฉียงใต้
888,ระยอง เขต4,A4604,ไม่ใช่สิทธิ์ลงคะแนน,7,ตะวันออกเฉียงใต้
999,ลพบุรี เขต1,A4701,บัตรดี,,กลาง
034,ลพบุรี เขต1,A4701,เพื่อไทย,13,กลาง
001,ลพบุรี เขต1,A4701,ประชาธิปัตย์,6,กลาง
192,ลพบุรี เขต1,A4701,พลังประชารัฐ,5,กลาง
177,ลพบุรี เขต1,A4701,อนาคตใหม่,15,กลาง
063,ลพบุรี เขต1,A4701,ภูมิใจไทย,14,กลาง
077,ลพบุรี เขต1,A4701,พรรคไทยรักษาชาติ,11,กลาง
145,ลพบุรี เขต1,A4701,เสรีรวมไทย,6,กลาง
181,ลพบุรี เขต1,A4701,รวมพลังประชาชาติไทย,16,กลาง
000,ลพบุรี เขต1,A4701,บัตรเสีย,13,กลาง
888,ลพบุรี เขต1,A4701,ไม่ใช่สิทธิ์ลงคะแนน,1,กลาง
999,ลพบุรี เขต2,A4702,บัตรดี,,กลาง
034,ลพบุรี เขต2,A4702,เพื่อไทย,13,กลาง
001,ลพบุรี เขต2,A4702,ประชาธิปัตย์,16,กลาง
192,ลพบุรี เขต2,A4702,พลังประชารัฐ,8,กลาง
177,ลพบุรี เขต2,A4702,อนาคตใหม่,10,กลาง
063,ลพบุรี เขต2,A4702,ภูมิใจไทย,12,กลาง
077,ลพบุรี เขต2,A4702,พรรคไทยรักษาชาติ,9,กลาง
145,ลพบุรี เขต2,A4702,เสรีรวมไทย,12,กลาง
181,ลพบุรี เขต2,A4702,รวมพลังประชาชาติไทย,10,กลาง
000,ลพบุรี เขต2,A4702,บัตรเสีย,10,กลาง
888,ลพบุรี เขต2,A4702,ไม่ใช่สิทธิ์ลงคะแนน,0,กลาง
999,ลพบุรี เขต3,A4703,บัตรดี,,กลาง
034,ลพบุรี เขต3,A4703,เพื่อไทย,5,กลาง
001,ลพบุรี เขต3,A4703,ประชาธิปัตย์,12,กลาง
192,ลพบุรี เขต3,A4703,พลังประชารัฐ,8,กลาง
177,ลพบุรี เขต3,A4703,อนาคตใหม่,13,กลาง
063,ลพบุรี เขต3,A4703,ภูมิใจไทย,20,กลาง
077,ลพบุรี เขต3,A4703,พรรคไทยรักษาชาติ,6,กลาง
145,ลพบุรี เขต3,A4703,เสรีรวมไทย,8,กลาง
181,ลพบุรี เขต3,A4703,รวมพลังประชาชาติไทย,12,กลาง
000,ลพบุรี เขต3,A4703,บัตรเสีย,9,กลาง
888,ลพบุรี เขต3,A4703,ไม่ใช่สิทธิ์ลงคะแนน,7,กลาง
999,ลพบุรี เขต4,A4704,บัตรดี,,กลาง
034,ลพบุรี เขต4,A4704,เพื่อไทย,6,กลาง
001,ลพบุรี เขต4,A4704,ประชาธิปัตย์,19,กลาง
192,ลพบุรี เขต4,A4704,พลังประชารัฐ,6,กลาง
177,ลพบุรี เขต4,A4704,อนาคตใหม่,9,กลาง
063,ลพบุรี เขต4,A4704,ภูมิใจไทย,6,กลาง
077,ลพบุรี เขต4,A4704,พรรคไทยรักษาชาติ,9,กลาง
145,ลพบุรี เขต4,A4704,เสรีรวมไทย,7,กลาง
181,ลพบุรี เขต4,A4704,รวมพลังประชาชาติไทย,17,กลาง
000,ลพบุรี เขต4,A4704,บัตรเสีย,13,กลาง
888,ลพบุรี เขต4,A4704,ไม่ใช่สิทธิ์ลงคะแนน,8,กลาง
999,ลำปาง เขต1,A4801,บัตรดี,,เหนือ
034,ลำปาง เขต1,A4801,เพื่อไทย,14,เหนือ
001,ลำปาง เขต1,A4801,ประชาธิปัตย์,14,เหนือ
192,ลำปาง เขต1,A4801,พลังประชารัฐ,9,เหนือ
177,ลำปาง เขต1,A4801,อนาคตใหม่,9,เหนือ
063,ลำปาง เขต1,A4801,ภูมิใจไทย,11,เหนือ
077,ลำปาง เขต1,A4801,พรรคไทยรักษาชาติ,9,เหนือ
145,ลำปาง เขต1,A4801,เสรีรวมไทย,10,เหนือ
181,ลำปาง เขต1,A4801,รวมพลังประชาชาติไทย,7,เหนือ
000,ลำปาง เขต1,A4801,บัตรเสีย,9,เหนือ
888,ลำปาง เขต1,A4801,ไม่ใช่สิทธิ์ลงคะแนน,8,เหนือ
999,ลำปาง เขต2,A4802,บัตรดี,,เหนือ
034,ลำปาง เขต2,A4802,เพื่อไทย,16,เหนือ
001,ลำปาง เขต2,A4802,ประชาธิปัตย์,8,เหนือ
192,ลำปาง เขต2,A4802,พลังประชารัฐ,6,เหนือ
177,ลำปาง เขต2,A4802,อนาคตใหม่,7,เหนือ
063,ลำปาง เขต2,A4802,ภูมิใจไทย,13,เหนือ
077,ลำปาง เขต2,A4802,พรรคไทยรักษาชาติ,10,เหนือ
145,ลำปาง เขต2,A4802,เสรีรวมไทย,10,เหนือ
181,ลำปาง เขต2,A4802,รวมพลังประชาชาติไทย,5,เหนือ
000,ลำปาง เขต2,A4802,บัตรเสีย,12,เหนือ
888,ลำปาง เขต2,A4802,ไม่ใช่สิทธิ์ลงคะแนน,13,เหนือ
999,ลำปาง เขต3,A4803,บัตรดี,,เหนือ
034,ลำปาง เขต3,A4803,เพื่อไทย,17,เหนือ
001,ลำปาง เขต3,A4803,ประชาธิปัตย์,12,เหนือ
192,ลำปาง เขต3,A4803,พลังประชารัฐ,7,เหนือ
177,ลำปาง เขต3,A4803,อนาคตใหม่,7,เหนือ
063,ลำปาง เขต3,A4803,ภูมิใจไทย,6,เหนือ
077,ลำปาง เขต3,A4803,พรรคไทยรักษาชาติ,6,เหนือ
145,ลำปาง เขต3,A4803,เสรีรวมไทย,15,เหนือ
181,ลำปาง เขต3,A4803,รวมพลังประชาชาติไทย,13,เหนือ
000,ลำปาง เขต3,A4803,บัตรเสีย,17,เหนือ
888,ลำปาง เขต3,A4803,ไม่ใช่สิทธิ์ลงคะแนน,3,เหนือ
999,ลำปาง เขต4,A4804,บัตรดี,,เหนือ
034,ลำปาง เขต4,A4804,เพื่อไทย,8,เหนือ
001,ลำปาง เขต4,A4804,ประชาธิปัตย์,9,เหนือ
192,ลำปาง เขต4,A4804,พลังประชารัฐ,6,เหนือ
177,ลำปาง เขต4,A4804,อนาคตใหม่,5,เหนือ
063,ลำปาง เขต4,A4804,ภูมิใจไทย,13,เหนือ
077,ลำปาง เขต4,A4804,พรรคไทยรักษาชาติ,11,เหนือ
145,ลำปาง เขต4,A4804,เสรีรวมไทย,7,เหนือ
181,ลำปาง เขต4,A4804,รวมพลังประชาชาติไทย,8,เหนือ
